t,firm_id,price,cost,quantity,profit
0,0,2.6,1.0,2375.1040626053,3800.16650016848
0,1,2.4,1.0,2624.8959373947,3674.8543123525797
0,2,2.6,1.0,2375.1040626053,3800.16650016848
1,0,2.6,1.0940564716391215,1697.96443320775,2557.0385495761584
1,1,2.6,0.8048964811346163,1697.96443320775,3048.021928959499
1,2,1.2697820493137684,0.8697820493137682,3302.0355667922504,1320.8142267169005
2,0,2.6,1.0087520788817634,1741.8413785317157,2771.701472506316
2,1,2.6,0.8928362786208992,1741.8413785317157,2973.608409826307
2,2,1.347561242856663,0.9475612428566631,3258.1586214682843,1303.2634485873134
3,0,2.6,0.9228228325934396,1687.8259468578233,2830.7831406263
3,1,2.6,0.9297113570291491,1687.8259468578233,2819.1565103481453
3,2,1.2516729827737634,0.8516729827737632,3312.174053142177,1324.8696212568711
4,0,2.6,0.8547298781530455,1679.1980432990028,2930.6541736336185
4,1,2.6,1.0519654908965521,1679.1980432990028,2599.456518645842
4,2,1.236220034566883,0.836220034566883,3320.8019567009974,1328.3207826803991
5,0,2.6,0.8912742845894533,1703.306165220811,2910.483045730125
5,1,2.6,1.093238752056151,1703.306165220811,2566.475723138561
5,2,1.2793021348676712,0.8793021348676713,3296.6938347791893,1318.6775339116755
6,0,2.6,0.8098970117646656,1767.2593513989218,3163.576245926049
6,1,2.6,1.1548366943137007,1767.2593513989218,2553.9783662726913
6,2,1.3921993641397603,0.9921993641397604,3232.7406486010786,1293.0962594404311
7,0,2.6,0.8749562905471356,2279.6450656031357,3932.4873802039515
7,1,2.6,1.229162111434045,2279.6450656031357,3125.0238284112006
7,2,2.24651479097028,1.0465147909702799,2720.354934396865,3264.4259212762377
8,0,2.6,0.896825150220037,2293.5179083913226,3906.262019092046
8,1,2.6,1.3163049892288639,2293.5179083913226,2944.1774961161927
8,2,2.268874345847748,1.068874345847748,2706.4820916086774,3247.778509930413
9,0,2.6,0.9599539728038909,2273.688259721254,3728.953397438278
9,1,2.6,1.1705894072432972,2273.688259721254,3250.034083072114
9,2,2.236907224212018,1.0369072242120179,2726.3117402787457,3271.5740883344947
10,0,2.6,1.1094481039273305,2333.8297767674067,3478.6943988715134
10,1,2.6,1.0840062956739729,2333.8297767674067,3538.0712485480058
10,2,2.3337350596711657,1.133735059671166,2666.1702232325933,3199.404267879111
11,0,2.6,1.1680703370632584,2383.2535908479867,3412.6515110357373
11,1,2.6,1.1551289536532583,2383.2535908479867,3443.4941095181603
11,2,2.4130697831911583,1.2130697831911585,2616.746409152013,3140.0956909824145
12,0,2.6,1.1489399045750968,2312.6898446073506,3355.851946604147
12,1,2.6,1.0275603213194662,2312.6898446073506,3636.565276142116
12,2,2.2997410617908107,1.0997410617908105,2687.31015539265,3224.7721864711802
13,0,2.6,1.2179884399818737,2322.5458267311956,3209.7851812143685
13,1,2.6,0.9848350566858127,2322.5458267311956,3751.294598576894
13,2,2.315595030898482,1.1155950308984819,2677.454173268804,3212.9450079225653
14,0,2.6,1.1517958458752084,2298.8242069781577,3329.166766148398
14,1,2.6,0.9485296720293055,2298.8242069781577,3796.43996704519
14,2,2.277421241498649,1.077421241498649,2701.1757930218428,3241.410951626211
15,0,2.6,1.1530452577479773,2326.575463260977,3366.449399772667
15,1,2.6,0.9966043379198963,2326.575463260977,3730.4210052946582
15,2,2.3220743591016433,1.1220743591016435,2673.4245367390236,3208.1094440868274
16,0,2.6,1.1450734366573374,1758.792508488079,2558.913940007382
16,1,2.6,0.8278708945240933,1758.792508488079,3116.8073947847056
16,2,1.3773631118593348,0.9773631118593348,3241.207491511921,1296.4829966047685
17,0,2.6,1.0545255311213313,1833.5500916839462,2833.704854107681
17,1,2.6,0.7900546391201544,1833.5500916839462,3318.625482384174
17,2,1.5072859416379414,1.1072859416379413,3166.4499083160536,1266.5799633264219
18,0,2.6,1.0339817753345684,1813.9112024959006,2840.6180010333687
18,1,2.6,0.6950524336290963,1813.9112024959006,3455.4057308074857
18,2,1.4733826340478848,1.073382634047885,3186.088797504099,1274.4355190016395
19,0,2.6,1.0577553355677962,1731.1961063250758,2669.9279580656544
19,1,2.6,0.6356374380594169,1731.1961063250758,3400.6968186422882
19,2,1.3287768486090394,0.9287768486090394,3268.803893674925,1307.52155746997
20,0,2.6,1.0599405501201404,1717.6761540604473,2645.3233928940854
20,1,2.6,0.7958153271915084,1717.6761540604473,3099.004990004497
20,2,1.304841285861737,0.904841285861737,3282.3238459395534,1312.9295383758217
21,0,2.6,1.1958593076441841,2214.086647526998,3108.8891581943267
21,1,2.6,0.8793264517829662,2214.086647526998,3809.7203278602374
21,2,2.1405283917766877,0.9405283917766879,2785.913352473002,3343.0960229676016
22,0,2.6,1.1032017135036316,1660.646643637415,2485.6530506724284
22,1,2.6,0.8403454714673894,1660.646643637415,2922.164386769058
22,2,1.202859777021057,0.802859777021057,3339.3533563625847,1335.7413425450336
23,0,2.6,1.0016438053828773,1707.447220547791,2729.1088419443504
23,1,2.6,0.8716968562124089,1707.447220547791,2950.9863991241314
23,2,1.2866724338104953,0.8866724338104952,3292.5527794522095,1317.0211117808842
24,0,2.6,0.9026899933796909,1722.5293598166172,2923.666319114019
24,1,2.6,0.658492228139278,1722.5293598166172,3344.3041393422363
24,2,1.3134435800448787,0.9134435800448788,3277.4706401833832,1310.988256073353
25,0,2.6,0.8886109047380524,1731.4063918749146,2963.1100185215632
25,1,2.6,0.7650902512180424,1731.4063918749146,3176.9744675546754
25,2,1.3291484367894133,0.9291484367894133,3268.5936081250857,1307.4374432500344
26,0,2.6,0.8399801138307192,1832.7695580250577,3225.710868889785
26,1,2.6,0.7597119961362103,1832.7695580250577,3372.823831480254
26,2,1.5059414281474015,1.1059414281474016,3167.230441974942,1266.8921767899765
27,0,2.6,0.7214857371890168,1790.8789056782898,3364.1915672839928
27,1,2.6,0.6632003199129731,1790.8789056782898,3468.5736915923167
27,2,1.4334188216938264,1.0334188216938263,3209.12109432171,1283.6484377286845
28,0,2.6,0.6311930193803141,1813.0624757879166,3569.5700586308603
28,1,2.6,0.7563576212003975,1813.0624757879166,3342.6388157739316
28,2,1.4719139183044128,1.0719139183044126,3186.9375242120836,1274.7750096848338
29,0,2.6,0.6758002395285222,1742.8585679278929,3353.6080389425147
29,1,2.6,0.7108592731663195,1742.8585679278929,3292.505101783607
29,2,1.3493533419276877,0.9493533419276878,3257.141432072107,1302.8565728288424
30,0,2.6,0.691799400885866,1759.1190784750002,3356.752079459099
30,1,2.6,0.6989954405553312,1759.1190784750002,3344.093388787079
30,2,1.377935955887942,0.9779359558879421,3240.8809215249994,1296.3523686099995
31,0,2.6,0.802428271891855,1847.6376785797563,3321.261254802334
31,1,2.6,0.7418710844014926,1847.6376785797563,3433.148996118346
31,2,1.5315115550875413,1.1315115550875414,3152.362321420244,1260.9449285680973
32,0,2.6,0.9675210651149799,1837.1940203616655,2999.1805375371396
32,1,2.6,0.9142376564798224,1837.1940203616655,3097.0724972661383
32,2,1.5135596337592814,1.1135596337592815,3162.805979638335,1265.1223918553337
33,0,2.6,1.108059247629443,2361.325189010845,3522.9572790843877
33,1,2.6,0.8247649545842397,2361.325189010845,4191.9072291550465
33,2,2.3778923132281857,1.177892313228186,2638.674810989155,3166.409773186985
34,0,2.6,1.1418167025093364,2366.970025023279,3451.4761561500036
