t,firm_id,price,cost,quantity,profit
0,0,2.6,1.0,2500.0,4000.0
0,1,2.6,1.0,2500.0,4000.0
0,2,2.6,1.0,2500.0,4000.0
1,0,2.6,1.057065601358016,2500.0,3857.33599660496
1,1,2.6,1.1382608141997985,2500.0,3654.347964500504
1,2,2.6,1.023885375802866,2500.0,3940.286560492835
2,0,2.6,0.9051289778730478,2500.0,4237.177555317381
2,1,2.6,1.1502771565298564,2500.0,3624.3071086753594
2,2,2.6,1.0347894609835406,2500.0,3913.0263475411484
3,0,2.6,0.8463285048242659,2500.0,4384.178737939335
3,1,2.6,0.9864923749909077,2500.0,4033.7690625227306
3,2,2.6,1.0277674274149817,2500.0,3930.581431462546
4,0,2.6,0.6547054322842688,2500.0,4863.236419289328
4,1,2.6,0.9696948774651534,2500.0,4075.7628063371167
4,2,2.6,1.0261563191343965,2500.0,3934.609202164009
5,0,2.6,0.8985760154112314,2500.0,4253.559961471921
5,1,2.6,1.0791846963255125,2500.0,3802.038259186219
5,2,2.6,1.115200190547865,2500.0,3711.9995236303375
6,0,2.6,0.9488232321110476,2500.0,4127.941919722381
6,1,2.6,1.0558411703025143,2500.0,3860.3970742437145
6,2,2.6,1.086886490251917,2500.0,3782.7837743702075
7,0,2.6,0.8942389343620664,2500.0,4264.402664094834
7,1,2.6,1.1374498743899912,2500.0,3656.3753140250224
7,2,2.6,1.226717928526221,2500.0,3433.2051786844477
8,0,2.6,0.8626122258826284,2500.0,4343.469435293428
8,1,2.6,1.1286696496356674,2500.0,3678.3258759108317
8,2,2.6,1.2994402435509345,2500.0,3251.399391122664
9,0,2.6,1.0082807503324445,2500.0,3979.298124168889
9,1,2.6,1.281533003521045,2500.0,3296.167491197388
9,2,2.6,1.5196229791128415,2500.0,2700.9425522178963
10,0,2.6,1.0808896949195992,2500.0,3797.7757627010023
10,1,2.6,1.3601009395928043,2500.0,3099.7476510179895
10,2,2.6,1.6468415615082648,2500.0,2382.896096229338
11,0,2.6,1.009580393957461,2500.0,3976.0490151063477
11,1,2.6,1.4444171221639628,2500.0,2888.9571945900934
11,2,2.6,1.6611985568234753,2500.0,2347.003607941312
12,0,2.6,1.1031858985280785,2500.0,3742.035253679804
12,1,2.6,1.4417056625065994,2500.0,2895.735843733502
12,2,2.6,1.669497950996695,2500.0,2326.255122508263
13,0,2.6,1.0440944511378476,2500.0,3889.7638721553813
13,1,2.6,1.5645106379320284,2500.0,2588.7234051699293
13,2,2.6,1.7430432053576297,2500.0,2142.391986605926
14,0,2.6,1.1161114304040707,2500.0,3709.7214239898235
14,1,2.6,1.4875544202561208,2500.0,2781.113949359698
14,2,2.6,1.7458632939722263,2500.0,2135.3417650694346
15,0,2.6,1.2432430093461884,2500.0,3391.8924766345294
15,1,2.6,1.6506001105547365,2500.0,2373.499723613159
15,2,2.6,1.8390198075724895,2500.0,1902.4504810687765
16,0,2.6,1.2013053840084174,2500.0,3496.736539978957
16,1,2.6,1.7393880814203628,2500.0,2151.5297964490933
16,2,2.6,1.946221460842317,2500.0,1634.4463478942077
17,0,2.6,1.152634283390716,2500.0,3618.4142915232105
17,1,2.6,1.7341735027339038,2500.0,2164.566243165241
17,2,2.6,2.003329364722501,2500.0,1491.6765881937476
18,0,2.6,1.2769763318184848,2500.0,3307.5591704537883
18,1,2.6,1.7499804424365526,2500.0,2125.0488939086185
18,2,2.6,1.853210970184003,2500.0,1866.9725745399928
19,0,2.6,1.2519033471232575,2500.0,3370.2416321918568
19,1,2.6,1.844794068897849,2500.0,1888.0148277553776
19,2,2.6,1.8344106456868061,2500.0,1913.973385782985
20,0,2.6,1.2112949443044503,2500.0,3471.7626392388747
20,1,2.6,1.780168088355835,2500.0,2049.5797791104123
20,2,2.6,1.7919071954767125,2500.0,2020.232011308219
21,0,2.6,1.1846569057593983,2500.0,3538.3577356015044
21,1,2.6,1.8211937664014988,2500.0,1947.0155839962533
21,2,2.6,1.6514172642294074,2500.0,2371.4568394264816
22,0,2.6,1.0446908707233715,2500.0,3888.272823191571
22,1,2.6,1.670969567431515,2500.0,2322.5760814212126
22,2,2.6,1.6859652690290765,2500.0,2285.086827427309
23,0,2.6,1.042992450506014,2500.0,3892.5188737349654
23,1,2.6,1.5866565155080405,2500.0,2533.3587112298987
23,2,2.6,1.8019184732980928,2500.0,1995.203816754768
24,0,2.6,1.155840426462316,2500.0,3610.3989338442098
24,1,2.6,1.6647521906139766,2500.0,2338.1195234650586
24,2,2.6,1.8232857610547855,2500.0,1941.7855973630367
25,0,2.6,0.9891176677334683,2500.0,4027.2058306663293
25,1,2.6,1.753293772131596,2500.0,2116.7655696710103
25,2,2.6,1.902071230532726,2500.0,1744.821923668185
26,0,2.6,0.9497877789714428,2500.0,4125.530552571393
26,1,2.6,1.6534544948636634,2500.0,2366.363762840842
26,2,2.6,1.9969108636141466,2500.0,1507.7228409646336
27,0,2.6,0.9525855686688192,2500.0,4118.536078327952
27,1,2.6,1.8369994944047956,2500.0,1907.5012639880113
27,2,2.6,1.8956882334687404,2500.0,1760.7794163281492
28,0,2.6,0.9274870213046764,2500.0,4181.282446738309
28,1,2.6,1.8204199681776168,2500.0,1948.9500795559584
28,2,2.6,1.8792741246625642,2500.0,1801.8146883435898
29,0,2.6,0.9056633455134722,2500.0,4235.84163621632
29,1,2.6,1.793928293327148,2500.0,2015.17926668213
29,2,2.6,1.8154572179564208,2500.0,1961.3569551089483
30,0,2.6,0.6219797632803545,2500.0,4945.050591799114
30,1,2.6,1.8040912153802293,2500.0,1989.771961549427
30,2,2.6,1.8574902494708676,2500.0,1856.2743763228311
31,0,2.6,0.6553290477833336,2500.0,4861.677380541666
31,1,2.6,1.708756773462702,2500.0,2228.108066343245
31,2,2.6,1.9343663041432533,2500.0,1664.084239641867
32,0,2.6,0.8678616144926092,2500.0,4330.345963768477
32,1,2.6,1.8445766121995344,2500.0,1888.5584695011642
32,2,2.6,1.8196324699453146,2500.0,1950.9188251367138
33,0,2.6,0.8333327997371738,2500.0,4416.668000657066
33,1,2.6,1.781540058206622,2500.0,2046.149854483445
33,2,2.6,1.903121892565911,2500.0,1742.1952685852227
